Name,display_name,genre,title,ruler,date,provenience,line_count,word_count,Personal_Names,aproximate_breaks,number_of_dates,number_of_eponyms,places_of_dates_in_text,Break_ratio,Fragmentary,Line_ratio,Word_ratio,Relative_Path
Q003458,RINAP 1 Tigl. III 45,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,15,0,9,0,0,,0.0,1.6666666666666667,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003458.json
Q003459,RINAP 1 Tigl. III 46,Royal Inscription,,Tiglath-pileser III,,Nimrud,5,33,0,11,0,0,,0.0,3.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003459.json
Q003460,RINAP 1 Tigl. III 47,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,74,0,11,0,0,,0.0,6.7272727272727275,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003460.json
Q003461,RINAP 1 Tigl. III 48,Royal Inscription,,Tiglath-pileser III,,Nimrud,10,72,0,27,0,0,,0.0,2.6666666666666665,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003461.json
Q003462,RINAP 1 Tigl. III 49,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,26,0,14,0,0,,0.0,1.8571428571428572,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003462.json
Q003463,RINAP 1 Tigl. III 50,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,25,0,15,0,0,,0.0,1.6666666666666667,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003463.json
Q003464,RINAP 1 Tigl. III 51,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,74,0,12,0,0,,0.0,6.166666666666667,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003464.json
Q003465,RINAP 1 Tigl. III 52,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,74,0,25,0,0,,0.0,2.96,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003465.json
Q003466,RINAP 1 Tigl. III 53,Royal Inscription,,Tiglath-pileser III,,Arslan Tash,4,13,0,6,0,0,,0.0,2.1666666666666665,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003466.json
Q003467,RINAP 1 Tigl. III 54,Royal Inscription,,Tiglath-pileser III,,Ashur,7,35,0,13,0,0,,0.0,2.6923076923076925,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003467.json
Q003468,RINAP 1 Tigl. III 55,Royal Inscription,,Tiglath-pileser III,,Nimrud,1,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003468.json
Q003469,RINAP 1 Tigl. III 56,Royal Inscription,,Tiglath-pileser III,,Nimrud,1,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003469.json
Q003470,RINAP 1 Tigl. III 57,Royal Inscription,,Tiglath-pileser III,,Nimrud,1,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003470.json
Q003471,RINAP 1 Tigl. III 58,Royal Inscription,,Tiglath-pileser III,,Ashur,3,15,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003471.json
Q003472,RINAP 1 Tigl. III 59,Royal Inscription,,Tiglath-pileser III,,Ashur,4,17,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003472.json
Q003473,RINAP 1 Tigl. III 60,Royal Inscription,,Tiglath-pileser III,,Ashur,4,19,0,3,0,0,,0.0,6.333333333333333,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003473.json
Q003474,RINAP 1 Tigl. III 61,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,7,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003474.json
Q003608,RINAP 1 Tigl. III 62,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,13,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003608.json
Q003609,RINAP 1 Tigl. III 63,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,10,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003609.json
Q003610,RINAP 1 Tigl. III 1001,Royal Inscription,,Tiglath-pileser III,,Ashur,1,3,0,1,0,0,,0.0,3.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003610.json
Q003611,RINAP 1 Tigl. III 1002,Royal Inscription,,Tiglath-pileser III,,Ashur,1,5,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003611.json
Q003612,RINAP 1 Tigl. III 1003,Royal Inscription,,Tiglath-pileser III,,Ashur,1,5,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003612.json
Q003613,RINAP 1 Tigl. III 1004,Royal Inscription,,Tiglath-pileser III,,Ashur,3,6,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003613.json
Q003614,RINAP 1 Tigl. III 1005,Royal Inscription,,Tiglath-pileser III,,Ashur,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003614.json
Q003615,RINAP 1 Tigl. III 1006,Royal Inscription,,Tiglath-pileser III,,Ashur,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003615.json
Q003616,RINAP 1 Tigl. III 1007,Royal Inscription,,Tiglath-pileser III,,Ashur,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003616.json
Q003617,,Royal Inscription,,Tiglath-pileser III,,Arslan Tash,4,18,1,6,0,0,,0.16666666666666666,3.0,0.25,0.05555555555555555,jsons_unzipped/rinap/rinap1/corpusjson/Q003617.json
Q003618,RINAP 1 Tigl. III 2002,Royal Inscription,,Tiglath-pileser III,,Tell Tayinat,2,20,1,1,0,0,,1.0,20.0,0.5,0.05,jsons_unzipped/rinap/rinap1/corpusjson/Q003618.json
Q003619,RINAP 1 Tigl. III 2003,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,18,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003619.json
Q003620,RINAP 1 Tigl. III 2004,Royal Inscription,,Tiglath-pileser III,,Nimrud,1,8,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003620.json
Q003621,RINAP 1 Tigl. III 2005,Royal Inscription,,Tiglath-pileser III,,Nimrud,1,8,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003621.json
Q003622,RINAP 1 Shalm. V 1,Royal Inscription,,Shalmaneser V,,Nimrud,2,10,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003622.json
Q003623,RINAP 1 Shalm. V 2,Royal Inscription,,Shalmaneser V,,Nimrud,2,9,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003623.json
Q003624,RINAP 1 Shalm. V 3,Royal Inscription,,Shalmaneser V,,Nimrud,2,10,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003624.json
Q003625,RINAP 1 Shalm. V 4,Royal Inscription,,Shalmaneser V,,Nimrud,2,9,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003625.json
Q003626,RINAP 1 Shalm. V 5,Royal Inscription,,Shalmaneser V,,Nimrud,3,9,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003626.json
Q003627,RINAP 1 Shalm. V 6,Royal Inscription,,Shalmaneser V,,Nimrud,2,9,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003627.json
Q003628,RINAP 1 Shalm. V 7,Royal Inscription,,Shalmaneser V,,Nimrud,2,7,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003628.json
Q003629,RINAP 1 Shalm. V 8,Royal Inscription,,Shalmaneser V,,Nimrud,2,8,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003629.json
Q003630,RINAP 1 Shalm. V 9,Royal Inscription,,Shalmaneser V,,Nimrud,2,8,0,1,0,0,,0.0,8.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003630.json
Q003631,RINAP 1 Shalm. V 1001,Royal Inscription,,Shalmaneser V,,Ashur,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003631.json
Q003632,RINAP 1 Shalm. V 1002,Royal Inscription,,Shalmaneser V,,Tell Abu Marya,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003632.json
Q003633,RINAP 1 Shalm. V 1003,Royal Inscription,,Shalmaneser V,,Nimrud,2,10,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003633.json
Q003634,RINAP 1 Shalm. V 1004,Royal Inscription,,Shalmaneser V,,Assyria,3,10,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003634.json
Q003635,RINAP 1 Shalm. V 2001,Royal Inscription,,Shalmaneser V,,Nimrud,1,8,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003635.json
Q003636,RINAP 1 Shalm. V 2002,Royal Inscription,,Shalmaneser V,,Nimrud,1,8,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003636.json
Q004177,RINAP 1 Tigl. III 64,Royal Inscription,,Tiglath-pileser III,,Assyria,4,11,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q004177.json
Q004178,RINAP 1 Tigl. III 2006,Royal Inscription,,Tiglath-pileser III,,Assyria,2,7,0,3,0,0,,0.0,2.3333333333333335,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q004178.json
Q003475,,,,Sennacherib,,Nineveh and Ashur,3,42,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003475.json
Q003476,,,,Sennacherib,,Nineveh,3,40,0,10,0,0,,0.0,4.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003476.json
Q003477,,,,Sennacherib,,Nineveh and Ashur,3,41,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003477.json
Q003478,,,,Sennacherib,,Nineveh and Ashur,3,43,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003478.json
Q003479,RINAP 3 005,Royal Inscription,,Sennacherib,,Nineveh,3,43,0,29,0,0,,0.0,1.4827586206896552,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003479.json
Q003480,RINAP 3 006,Royal Inscription,,Sennacherib,,Nineveh,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003480.json
Q003481,RINAP 3 007,Royal Inscription,,Sennacherib,,Nineveh,2,7,0,5,0,0,,0.0,1.4,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003481.json
Q003482,RINAP 3 008,Royal Inscription,,Sennacherib,,Nineveh,3,43,0,24,0,0,,0.0,1.7916666666666667,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003482.json
Q003483,RINAP 3 009,Royal Inscription,,Sennacherib,,Nineveh,3,40,0,24,0,0,,0.0,1.6666666666666667,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003483.json
Q003484,,,,Sennacherib,,Nineveh,9,51,0,16,0,0,,0.0,3.1875,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003484.json
Q003485,RINAP 3 011,Royal Inscription,,Sennacherib,,Nineveh,9,75,0,34,0,0,,0.0,2.2058823529411766,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003485.json
Q003486,RINAP 3 012,Royal Inscription,,Sennacherib,,Nineveh,7,58,0,16,0,0,,0.0,3.625,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003486.json
Q003487,RINAP 3 013,Royal Inscription,,Sennacherib,,Nineveh,7,54,0,16,0,0,,0.0,3.375,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003487.json
Q003488,RINAP 3 014,Royal Inscription,,Sennacherib,,Nineveh,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003488.json
Q003489,,,,Sennacherib,,Nineveh and Ashur,22,74,0,20,0,0,,0.0,3.7,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003489.json
Q003490,,,,Sennacherib,,Nineveh  and Ashur,14,43,0,3,0,0,,0.0,14.333333333333334,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003490.json
Q003491,,,,Sennacherib,,Nineveh,10,43,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003491.json
Q003492,RINAP 3 018,Royal Inscription,,Sennacherib,,Nineveh,8,28,0,17,0,0,,0.0,1.6470588235294117,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003492.json
Q003493,RINAP 3 019,Royal Inscription,,Sennacherib,,Nineveh,3,6,0,4,0,0,,0.0,1.5,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003493.json
Q003494,RINAP 3 020,Royal Inscription,,Sennacherib,,Nineveh,11,37,0,18,0,0,,0.0,2.0555555555555554,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003494.json
Q003495,RINAP 3 021,Royal Inscription,,Sennacherib,,Nineveh,5,19,0,6,0,0,,0.0,3.1666666666666665,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003495.json
Q003496,,,,Sennacherib,,Nineveh,9,43,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003496.json
Q003497,,,,Sennacherib,,Nineveh,9,43,0,8,0,0,,0.0,5.375,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003497.json
Q003498,,,,Sennacherib,,unclear,9,42,0,29,0,0,,0.0,1.4482758620689655,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003498.json
Q003499,RINAP 3 025,Royal Inscription,,Sennacherib,,Nineveh,5,22,0,13,0,0,,0.0,1.6923076923076923,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003499.json
Q003500,RINAP 3 026,Royal Inscription,,Sennacherib,,Nineveh,5,29,0,12,0,0,,0.0,2.4166666666666665,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003500.json
Q003501,,,,Sennacherib,,Nineveh,33,42,0,21,0,0,,0.0,2.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003501.json
Q003502,RINAP 3 028,Royal Inscription,,Sennacherib,,Nineveh,2,7,0,4,0,0,,0.0,1.75,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003502.json
Q003503,RINAP 3 029,Royal Inscription,,Sennacherib,,Nineveh,6,33,0,6,0,0,,0.0,5.5,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003503.json
Q003504,RINAP 3 030,Royal Inscription,,Sennacherib,,Nineveh,2,7,0,6,0,0,,0.0,1.1666666666666667,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003504.json
Q003505,RINAP 3 031,Royal Inscription,,Sennacherib,,Nineveh,9,27,0,24,0,0,,0.0,1.125,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003505.json
Q003506,RINAP 3 032,Royal Inscription,,Sennacherib,,Nineveh,8,30,0,13,0,0,,0.0,2.3076923076923075,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003506.json
Q003507,RINAP 3 033,Royal Inscription,,Sennacherib,,Nineveh,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003507.json
Q003508,RINAP 3 034,Royal Inscription,,Sennacherib,,Nineveh,3,28,0,5,0,0,,0.0,5.6,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003508.json
Q003509,,,,Sennacherib,,Nineveh,3,17,0,9,0,0,,0.0,1.8888888888888888,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003509.json
Q003510,RINAP 3 036,Royal Inscription,,Sennacherib,,Nineveh,16,108,0,27,0,0,,0.0,4.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003510.json
Q003511,RINAP 3 037,Royal Inscription,,Sennacherib,,Nineveh,4,17,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003511.json
Q003512,RINAP 3 038,Royal Inscription,,Sennacherib,,Nineveh,4,17,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003512.json
Q003513,,,,Sennacherib,,Nineveh,6,17,0,1,0,0,,0.0,17.0,0.0,0.0,jsons_unzipped/rinap/rinap3/corpusjson/Q003513.json
