Name,x,y,In Text,Related To the Place
Erbil,44.009008,36.191429,Arbail,
Erebuni (Arin-berd),44.538099,40.140628,,
Eridu (Abu Shahrain),45.996724,30.81687,"Eridu,Arbela",Ebeh
Eshnunna (Tell Asmar),44.72849,33.484397,Ešnunna,
Eski Mosul,42.736644,36.510809,,
Gabbari-ibni (Sur Jur'eh),42.193858,34.306915,,
Gadara (Umm Qeis),35.677972,32.656918,,
Gasur/Nuzi (Yorgan Tepa),44.254878,35.369561,,
Gath (Tell es-Safi),34.849524,31.703286,,
Gerasa (Jerash),35.893035,32.28023,,
Gezer / Gazru (Tell Jazar),34.920485,31.859575,,
Giba'la (Tall Tuweini),35.936536,35.371656,,
Girsu (Tello),46.176837,31.555975,,
Girumu (Tell Barghuthiat),44.791552,32.699601,,
Gordion (Yassihüyük),31.97857,39.650103,,
Gubla (Byblos),35.646459,34.118801,Gubla,
Guzana (Tell Halaf),40.039505,36.826191,Guzana,
Hadatu (Arslan Tash),38.408103,36.848806,,
Halab (Aleppo),37.162721,36.199222,Hallab,
Hama,36.749498,35.135899,Hamat,
Hamadan,48.516957,34.805225,,
Haradu (Khirbet ed-Diniye),41.586748,34.460734,,
Harbe (Tall Huera),39.498532,36.646985,,
Harran,39.03155,36.866265,Harranu,
Hashabu? (Tell 'Ayn 'Ushba / Tell Hashba)?,36.053701,33.946945,,
Hatra (al-Hadhar),42.718552,35.587027,,
Hattusa (Boğazköy),34.615003,40.015199,,
Hazazu? ('Azaz),37.044664,36.586007,Hazazu,
Hazi? (Tell Hizzin),36.104031,33.964925,,
Hazor,35.567947,33.017244,,
Hazzat / Gaza (Tell Harube / Tell 'Azza),34.513837,31.54734,,
Heliopolis (Baalbek),36.204371,34.006756,,
Heshbon (Tell Hesban),35.809026,31.800556,,
Hildua (Khalda)?,35.480163,33.785461,,
Hinatuna / Hannaton (Tel Hannaton / Tell al-Badawiya),35.256448,32.785477,,
Hindanu (Karable),41.064365,34.382722,Hindanu,
Hupishna / Hubushnu / Kybistra (Karahüyük)?,34.226692,37.662347,,
Hursagkalama (Ingharra),44.603827,32.538941,,
Huzirina (Sultantepe),38.90688,37.050224,Huzirina,
Idalion / Edi'il (Dali),33.424817,35.01609,,
Ilansura? (Tell Farfara),41.332375,36.822633,,
Imgur-Enlil (Balawat),43.403093,36.228721,,
Irqata (Tell 'Arqa),36.046765,34.530492,,
Isin (Ishan Bahriyat),45.27067,31.885082,Isin,
Isqaluna / Ashqelon,34.547324,31.664257,Isqaluna,
Issos (Kinet Höyük)?,36.143307,36.874345,,
Istanbul,28.956415,41.012437,,
Itu'u (Hit),42.823323,33.643924,,
Jabrudu (Yabrud),36.659956,33.966655,,
Jaharisha (Tell Fray),38.384198,35.903545,,
Jappû / Ioppe (Yafa),34.752643,32.054055,,
Jericho (Tell es-Sultan),35.443989,31.87102,,
Jerusalem,35.235954,31.774615,,
Jokneam (Tel Yoqne'am),35.108832,32.664667,,
Kabnak (Haft Tepe),48.328083,32.080566,,
Kadesh Barnea (Tell el-Qudeirat)?,34.408884,30.641825,,
Kahat (Tell Barri),41.127012,36.738928,Kahat,
Kalhu (Nimrud),43.329322,36.098634,Kalhu,
Kanesh/Nesha (Kültepe),35.635295,38.850171,,
Karkemish,38.016226,36.828916,Gargamis,
Kar-Mullissi (Keramlais),43.409825,36.305383,,
Kar-Tukulti-Ninurta (Tulul al-ʿAqir),43.27538,35.493551,Kar-Tukulti-Ninurta,
Kasappa (Tell Kashaf),43.364557,35.997676,Kasappa,
Kilizu (Qasr Shamamok),43.751679,36.103099,Dur-Atani,
Kinaluna? / Gindaros (Tell Jindiris),36.688633,36.385367,,
Kish (Tell Uhaimir),44.584455,32.55077,"kiš,Kiš",
Kissik/Duru? (Tell al-Lahm),46.36579,30.774033,Duru,
Kisurra (Abu Hatab),45.482557,31.83712,,
Krak des Chevallier / Qala'at el-Husn,36.294521,34.756744,,
Ktesiphon (Salman-pak),44.581295,33.093665,,
Kumidu (Kamid el-Loz),35.821434,33.623818,,
Kummuhu / Samosata (Samsat),38.498864,37.503563,Kummu,
Kullania (Tell Tayinat),36.375734,36.248585,Kullani,
Kurruhanni (Tall al-Fakhkhar),44.243941,35.074119,,
Kutallu (Tell Sifir),45.967135,31.294505,,
Kutû / Gudua / Kutha (Tell Ibrahim),44.612023,32.760546,,
Laba'u / Lebo (Tell Qasr Labwa),36.343786,34.199733,,
Lagash (El-Hiba),46.413276,31.418678,,
Lakisu / Lachish (Tell ed-Duwer),34.849067,31.565222,,
Larak? (Tell Wilaya),45.660995,32.311958,Larak,
Larsa (Sinkara),45.854351,31.284146,Larsa,
Marad (Wanna-wa-Sadum),44.783711,32.091859,Marad,
Mari (Tell Hariri),40.890029,34.550489,,
Marib,45.332417,15.425754,,
Mashkan-shapir (Tell Abu Duwari),45.220609,32.409259,,
Masyaf,36.343117,35.065864,,
Marqas / Gurgum / Germanikeia (Kahramanmaraş),36.925428,37.587095,,
Megiddo,35.184565,32.585337,,
Melid (Arslantepe),38.376098,38.386502,Melid,
Mê Turnat (Tulul Baradan / es-Sib / Haddad)?,45.051525,34.185819,,
Mugdan? (Umm el-Jir),44.849568,32.650347,,
Muṣaṣir? (Muǧesir),44.593027,36.803535,Muṣaṣir,
Mycene,22.757751,37.730073,,
Nabada (Tell Beidar),40.587119,36.737994,,
Nabula (Girnavaz),41.230484,37.10507,,
Nagar (Tell Brak),41.057934,36.667327,,
Nappigi (Manbij)?,37.955152,36.528288,Nappigi,
Nereb (Neirab)?,37.22708,36.177502,,
Nerebtum (Ishchali),44.582746,33.303586,,
Nihi? (Qal'at al-Mudiq),36.392272,35.419858,,
Nina  (Surghul),46.494315,31.377626,,
Nineveh (Tell Kuyunjik),43.151994,36.359287,"Durna,",
Nippur (Nuffar),45.227633,32.129223,Nippur,
Paneas / Caesarea Philippi (Banias),35.693103,33.247666,,
Pappa / Paphos (Kouklia)?,32.573887,34.70851,,
Pasargadae,53.173341,30.198502,,
Pihilu / Pella (Khirbet Fahl),35.616146,32.44947,,
Persepolis,52.890289,29.934824,,
Petra,35.447948,30.328594,,
Pitru? (Tall Aushariye),38.07561,36.659982,,
Puzriš-Dagan (Drehem)?,45.287296,32.05653,,
Qadesh (Tell Nebi Mendo),36.51879,34.555572,,
Qal'at Sim'an,36.84418,36.333988,,
Qarnina / Qarnaim (Shaykh Sa'ad)?,36.035811,32.837503,Qarnina,
Qarqar (Tell Qarqur),36.330696,35.742114,,
Qatara (Tell Rimah),42.450188,36.256767,,
Qatna (Tell Mishrifeh),36.866085,34.834477,,
Qedesh (Tel Qedesh),35.528693,33.113115,,
Rablê (Tell Zira'at / Ribla),36.57248,34.459572,,
Rapihu (Rafah)?,34.243842,31.297143,,
Rehob (Tel Rehov / Tell es-Sarem),35.498066,32.456625,,
Rusai URU.TUR (Bastam),44.949681,38.886111,,
Rusahinili (Toprakkale),43.406395,38.509983,,
Sam'al (Zincirli),36.677883,37.103322,,
Samarra,43.879635,34.205852,Surmarrati,
Samerina / Shomron / Samaria,35.189299,32.276328,Samerina,
Šapinuwa (Ortaköy),35.236969,40.254156,,
Sapiratum (Bijan),42.125489,34.302537,,
Ṣapuna / Ṣafon (Tell es-Sa'idiyeh),35.576872,32.267584,,
Sardes,28.04137,38.485239,,
Sardurihinili (Çavuştepe),43.461287,38.352998,,
Ṣariptu / Sarephtha (Ras al-Qantara),35.29517,33.464297,Sare,
Sarissa (Kuşaklı),36.909674,39.308429,,
Sekhna/Shubat-Enlil (Tell Leilan),41.506266,36.95853,,
Seleukia Pieria,35.938146,36.117049,,
Seleukia (Tell Omar),44.523286,33.098764,,
Seleukia / Zeugma,37.869484,37.055168,,
Sergiopolis (Resafa),38.757954,35.629099,,
Shadikanni (Tall 'Ajaja),40.72067,36.208101,,
Shaduppûm (Tell Harmal),44.466576,33.309782,,
Shechem (Tell Balata),35.282522,32.213239,,
Shibaniba (Tell Billa),43.348247,36.433759,,
Shuruppak (Fara),45.509748,31.777632,,
Shusharra (Tell Shemshara),44.938595,36.200651,,
Sidon,35.369331,33.562426,Ṣidunu,
Sikanu (Tell Fecheriye),40.070397,36.839687,,
Sippar-dūrim (Tell ed-Der),44.299488,33.098122,Sippar,
Sippar-ṣērim (Abu Habba),44.254663,33.06,Sippar,
Siyannu (Tell Sianu),36.002956,35.365395,,
Šuksu (Tell Sukas),35.922742,35.305873,,
Ṣumur / Ṣimirra (Tall Kazel),35.986136,34.708494,Ṣimirra,
Ṣupru? (Tell Abu Hasan),40.885144,34.654397,,
Sura / Suriya,38.778963,35.896927,,
Suru? (Sur Telbis),42.046099,34.375491,Suru,
Susa,48.252052,32.189773,Šušan,
Tadmur / Palmyra,38.273639,34.547408,,
Taidu? (Tell Hamidiya),41.165028,36.81603,,
Tamesu / Tamassos (Politikou)?,33.246325,35.029352,,
Taʿnak (Taʿannach),35.2195,32.52193,,
Tapigga (Maşat Höyük),35.762319,40.148295,,
Tarbiṣu (Sharif Khan),43.077431,36.408668,Tarbiṣu,
Tarsa / Tarsos (Gözlü Kule),34.895882,36.911948,,
Tawiniya / Tavium (Büyüknefes)?,34.527682,39.87428,,
Tayma,38.549534,27.626835,,
Teishebai URU (Karmir-blur),44.452699,40.153587,,
Terqa / Sirqu (Ashara),40.568412,34.922254,,
Til Abnu? (Tall Qitar),38.180288,36.383542,,
Til Barsip / Masuwari (Tell Ahmar),38.120951,36.67443,,
Til-basherê (Tilbeşar),37.559311,36.872777,,
Timnah? (Tel Batash),34.911003,31.784482,,
Troy / Wilusa (Hisarlik),26.238304,39.957518,,
Tuba? (Umm el-Marra),37.693473,36.134026,,
Tunip? (Asharneh),36.399361,35.283904,,
Tushhan (Ziyaret Tepe),40.793273,37.793242,,
Tushpa (Van),43.339289,38.502386,,
Tuttul (Tell Bi'a),39.047653,35.957697,,
Tutub (Khafaja),44.555562,33.355662,,
Tuwanuwa / Tuhana / Tyana (Kemerhisar),34.570219,37.822714,,
Tyre (Sur),35.19597,33.270289,Ṣurru,
Ugarit (Ras Shamra),35.785574,35.602121,,
Ukhaidir,43.602647,32.4395,,
Umma (Jokha),45.887676,31.66743,,
Ur (Tell Muqayyar),46.10512,30.961805,Uru,
Urkesh (Mozan),40.996403,37.057708,,
Uruk (Warka),45.63961,31.322626,Uruk,
Uskaf (Sumaka),45.037373,33.091055,,
Wasit,46.299691,32.186182,,
Zabalam (Ibzaikh),45.875755,31.744729,,
Zaralulu (Tell ed-Diba'i),44.481944,33.322758,,
Zenobia (Halabiye),39.822023,35.68925,,
(Aammourine),36.380589,35.321917,,
(Aamqiye),36.356348,35.586978,,
(Aayoun),36.521193,35.269553,,
(Abbas al-Kurdi),45.901054,31.311793,,
(Abdul Karim),44.364552,33.600638,,
('Aberta),44.879401,33.238875,,
(Abu Biyariq),44.711824,32.61931,,
(Abu Hejjil)?,44.413071,32.636485,,
(Abu Jreine)?,37.485686,36.030492,,
(Abu Kula),42.327608,36.667077,,
(Abu Qadir)?,45.241366,33.894033,,
(Abu Qubur),44.217493,33.145288,,
(Abu Salabikh),45.053296,32.252253,,
(Abu Wajnam),42.626233,36.685247,,
(Abu Winni),42.466974,36.628708,,
(Abu Zambil),45.039407,33.370526,,
(Ahmed),36.442417,35.274744,,
(Ahmedabad / Oujtepe?),48.984659,34.601963,,
('Ain al-Funaidiq),36.370311,36.18181,,
(Ain Tell),36.330171,35.818183,,
(Ain Zelal),36.433637,35.731783,,
(Akçemezraa),37.57702,36.808601,,
(Akhtarina),37.338069,36.514209,,
(Akpınar Höyük),36.528412,36.433038,,
(Alaçahöyük),34.695261,40.234535,,
(Alahan),37.437375,36.663986,,
(Al-Khan),42.392123,34.115417,,
(Al-Khatre),36.939574,35.742933,,
(Al-Kowm),38.858099,35.192029,,
(Al-Mina),35.974153,36.061588,,
(Al-Rawda),37.632857,35.181017,,
(Altintepe),39.646611,39.696308,,
(Amr Khan)?,43.342305,36.193443,,
('Anz)?,36.687078,32.404413,,
('Ar),36.679463,35.485107,,
(Aşağıbeğdeş),38.919562,36.814445,,
(Aşağıderen),39.021094,36.766072,,
(Aşvan Kalesi)?,38.936817,38.892248,,
('Ayn Hassan),37.2196,36.05806,,
(Ayvalıpınar),35.649675,40.460964,,
(Arab Hassane),37.854226,36.652659,,
(Aşağıryarımca),38.969095,36.895092,,
(Aşağı Salat),40.918701,37.817709,,
('Awas)?,36.772307,32.469167,,
(Bab),37.507187,36.369229,,
(Baba Jan Tepe),47.933097,34.02046,,
(Bab edh-Dhra'),35.533194,31.253225,,
(Baghouz)?,40.979689,34.445257,,
(Baqalou),36.397534,35.394297,,
(Bara?),36.540826,35.684136,,
(Baragiti),37.043907,35.763958,,
(Barbar),50.484114,26.226163,,
(Bassouta)?,36.870351,36.433517,,
(Bavian canal head),43.419992,36.76156,,
(Bellitaş),39.124946,36.91657,,
(Bergul el-Buz),40.696574,36.692547,,
(Bireg? Armanaz)?,36.480468,36.047724,,
(Birkhanis?),40.502456,37.002449,,
(Bismaya),44.603394,33.235108,,
(Bozhöyük),36.463975,36.616979,,
(Boztepe)?,40.778927,37.84062,,
(Boztepe)??,36.644686,36.836713,,
(Buq'ata),35.786118,33.198529,,
(Burj Agdal),36.844449,36.408781,,
(Buwayda)?,37.045342,35.142961,,
(Büyücek),38.991322,36.782069,,
(Çamurlu),37.474825,36.659737,,
(Çatalhöyük),32.828037,37.666036,,
(Çatal Höyük),36.545391,36.297652,,
(Çayönü),39.728824,38.218723,,
(Chagar Bazar),40.897709,36.875593,,
(Chogha Mami)?,45.537517,33.78137,,
(Chogha Mish),48.554634,32.223149,,
(Chogha Pahn)?,48.480544,32.175467,,
(Cholama Fawqani),40.741931,36.880122,,
(Coba Hüyük / Sakça Gözü),36.905854,37.201279,,
(Çobaktepe),36.92978,37.365623,,
(Çorten),37.272912,36.769933,,
(D114),44.523163,33.674983,,
(Dades),36.413463,35.209204,,
(Dadikh),36.736498,35.802548,,
(Danite),36.673919,35.894159,,
(Dar'a)?,36.097623,32.619739,,
(Dayr Khabiya),36.161167,33.361405,,
(Dekhi-Nou?),48.061414,34.100932,,
(Devehüyük),37.735632,36.755743,,
(Dibine)?,36.564138,32.438533,,
(Dimou),36.446516,35.20114,,
(Doubbeine),36.379125,35.281567,,
(Dourou),36.489038,35.276615,,
(Ed-Dem),44.960688,36.070136,,
(Elifoğlu),37.982478,36.9514,,
(Elmalı),37.367674,36.883954,,
(Er-Rubba),36.979061,35.131216,,
(Esen Tepe),36.427778,36.461048,,
(Et-Tell),35.261265,31.916633,,
(Et-Tell),35.630668,32.910309,,
(Fara),43.470169,35.446402,,
(Gaida),44.291277,34.970059,,
(Ganj Nameh)?,48.438283,34.756282,,
(Gaziantep),37.383325,37.066188,,
(Gerdi Resh),45.606107,35.384542,,
(Ger Mahir = Germayir?),40.854373,36.872243,,
(Ger Matlu),40.906468,36.900503,,
(Gir Kidish),41.573977,36.107317,,
(Glei'eh),42.20483,34.29282,,
(Godin Tepe),48.068398,34.518418,,
(Gohbal)?,41.959128,36.51542,,
(Göllühöyük),36.905593,37.376635,,
(Götübüyük),36.431167,36.237302,,
(Grai Resh),41.919019,36.318111,,
(Gre Dimse)?,40.968623,37.829536,,
(Gritelle),38.570432,37.566259,,
(Guir Bejnik Faouqani),40.939816,36.760196,,
(Gurob),30.950637,29.201049,,
(Habite),36.537668,35.440033,,
(Habuba Kabira South / Qannas),38.060824,36.150164,,
(Habuba Kabira Tell)?,38.068173,36.164871,,
(Hacinebi),37.973705,37.061275,,
(Hadir),37.04307,35.98749,,
(Haftavan)?,44.755748,38.167085,,
(Hajji Yunus),42.331411,36.374408,,
(Hakemi Use),40.742891,37.80306,,
(Hamad Agha el-Kabir),42.378351,36.817954,,
(Hamad Agha es-Saghir),42.42013,36.817344,,
(Hamamiyate),36.536715,35.380843,,
(Hamide),37.107073,35.955823,,
(Hamüs),37.734462,36.964347,,
(Hannjour),36.471561,35.189469,,
(Harappa),72.867897,30.62694,,
(Harim),36.519097,36.20724,,
(Hasanlu),45.458896,37.004586,,
(Hich),36.644736,35.54242,,
(Hili),55.793929,24.292583,,
(Hims),36.714437,34.723504,,
(Hirba Jarura),42.786457,33.625226,,
(Hirbemerdon Tepe),41.013648,37.778227,,
(Hirmil)?,36.394877,34.392946,,
(Houach),36.460533,35.442562,,
(Houaid)?,36.464517,35.279442,,
(Humairé),36.101416,34.632403,,
(Hümaniz),37.422657,37.049452,,
(Ibrahim Bayis),43.555139,35.772739,,
(Imam Ajil),44.631361,32.198541,,
(Imam Jadir)?,44.11069,34.043339,,
('Imar),36.447223,36.308076,,
(Irbid),35.847477,32.559134,,
(Isdere)?,43.295982,35.442347,,
(Ishan Abu Maktum),45.263339,31.577836,,
(Ishan Abu Umayma),44.624829,32.106267,,
(Ishan el-Jamba),45.103636,31.990987,,
(Ishan el-Kharah),44.776537,32.53881,,
(Ishan Faras),46.575736,31.832874,,
(Ishan Hamid),44.803161,32.805255,,
(Ishan Kaffa),44.740207,32.816306,,
(Ishan Katir),46.632543,31.772294,,
(Ishan Mizyad),44.572577,32.60202,,
(Ishan Musawi),46.57815,31.918512,,
(Ishan Ranya),46.02703,31.388847,,
(Ishan Rishayd esh-Sherrikh),44.800249,32.75839,,
(Ishan Said Ruda),45.150609,31.980782,,
(Ishan Shakhraban),46.429936,31.926619,,
(Ishan Shag?l),45.332945,31.590282,,
(Ishan Shumaykhi),46.647829,31.519636,,
(Ishan Zuraybah),44.746555,32.823933,,
(Jabbul),37.51943,36.090348,,
(Jalamah)?,36.764067,36.364763,,
(Jebel Aruda)?,38.09834,36.234205,,
(Jebel Masaikh),40.555458,34.973799,,
(Jebel Mashtala),40.607833,34.894582,,
(Jemdet Nasr),44.779457,32.717962,,
(Jerablus Tahtani),38.021156,36.790106,,
(Jerwan aqueduct),43.393338,36.669843,,
(Judlu),37.594102,35.882305,,
(K60),44.754961,32.618038,,
(Kalecik)?,38.794229,38.954022,,
(Kamarian),44.940005,36.091908,,
(Karahöyük),32.447689,37.820315,,
(Karatepe),36.358948,36.34618,,
(Karatepe),42.426257,36.34945,,
(Kara Tepe),40.9573,36.978133,,
(Karhol es-Sufla),42.877829,36.645462,,
(Karunah),44.82436,32.672975,,
(Kaula Kandal)?,43.628361,35.798417,,
(Kavuşan Höyük),40.71547,37.828089,,
(Kayalıpınar),36.528232,39.621128,,
(Kazane Höyuk),38.845754,37.119799,,
(Kaziktepe),40.275799,37.776473,,
(Kefadiz Hüyük),36.927246,37.198192,,
(Kenan Tepe),40.811641,37.833583,,
(Kermeztepe),48.95015,35.032069,,
(Khan Shaykhun),36.646296,35.443289,,
(Kharaba Bini Dahar),42.380326,34.083766,,
(Kharaba Tibn / Tell Abu Hajar),42.448832,36.730772,,
(Kharab Sayyar),39.566213,36.589819,,
(Kharaiyb Hwaish),42.854301,36.158916,,
(Kharaiyb Mahlabiyah),42.700475,36.270432,,
(Khiraeb Sidria (Isdere)),43.296185,35.447337,,
(Khirbat ed-Duwer),35.628718,32.683925,,
(Khirbat el-'Abd),41.9936,36.791323,,
(Khirbat ez-Zeraqon),35.948439,32.58638,,
(Khirbat Mughayyir),36.515795,33.345431,,
(Khirbat Qaṣrij),42.893659,36.62698,,
(Khirbet al-Bizuna)?,43.155736,36.071154,,
(Khirbet el-Umbashi),36.97371,33.054399,,
(Khirbet Hassan al-Yasin),42.974137,36.254452,,
(Khirbet Iskander),35.771193,31.556717,,
(Khirbet Karhasan),42.522843,36.810564,,
(Khirbet Khan el-Zanazil)?,42.811263,36.441492,,
(Khirbet Mazra'at Kanaf),35.686799,32.871268,,
(Khirbet Qara Quwiynili)?,43.226497,36.225596,,
(Khirbet Qeiyafa),34.957513,31.696408,,
(Khirbet Qumran),35.458937,31.741195,,
(Kom el Khawaled),30.861102,31.290228,,
(Konar Sandal / Jiroft)?,57.780799,28.467589,,
(Könk)?,39.430584,38.61152,,
(Körtepe)?,39.525419,38.642246,,
(Kortik Tepe)?,40.987868,37.81265,,
(Korucu Tepe)?,39.532689,38.636976,,
(Koruklu),38.920781,36.896234,,
(Kudish Saghir),44.268194,35.352953,,
(Kul-i Farah / Malamir)?,49.929073,31.870792,,
(Kurban Höyük),38.429231,37.475974,,
(Kurtbaba),32.770428,37.703249,,
(Latmine),36.654191,35.360325,,
(Lidar Höyük),38.606116,37.561427,,
(Madain Salih)?,37.958042,26.7977,,
(Makaraz Tepe)?,39.443529,38.648178,,
(Makhrut),44.083727,34.123218,,
(Malah),36.521729,35.307086,,
(Mana'a),42.144237,36.681288,,
(Manṣur),40.819611,36.744281,,
(Masin),36.72206,35.287136,,
(Mastuma),36.630771,35.877812,,
(Mécherfet el-Khannzîr),36.948666,35.481226,,
(Medinet al-Far),39.114221,36.538883,,
(Metuna)?,36.600926,32.950839,,
(Meydankapı),39.157844,36.784956,,
(Millis)?,36.482849,36.004175,,
(Mohasan),40.303359,35.222214,,
(Mohenjodaro),68.136194,27.324658,,
(Mostabli)?,36.240586,33.420375,,
(Moumsiye)?,35.834471,33.082282,,
(Mounbateh),39.056612,36.359392,,
(Mourek),36.689478,35.372352,,
(Muhacirosman Köy),37.226643,36.910416,,
(Mukhayshich?),45.344854,33.146252,,
(Munbata),37.529913,35.761147,,
(Muqnaysij),45.314422,33.206752,,
(Mushiya),42.351136,36.715333,,
(Müslümantepe)?,40.93693,37.803545,,
(Nahr el-Bared)?,35.964651,34.514637,,
(Najmuk),43.188753,36.472952,,
(Naqsh-i-Rustam),52.874464,29.988898,,
(Nemrik),42.820464,36.740184,,
(Niliyah),44.863881,32.501212,,
(Norşun Tepe)?,39.471996,38.625568,,
(Nush-i Jan)?,48.59609,34.400349,,
(Nustell),40.615952,36.660616,,
(Oura),36.67971,35.541368,,
(Oylum Höyük),37.179031,36.69864,,
(Oymaağaç Höyük),35.42969,41.207493,,
(Ozbaki),50.586582,35.979531,,
(Parapara),38.94544,36.949549,,
(Paşa Höyük),36.490376,36.345275,,
(Qabr Maqluba),42.796431,33.612897,,
(Qala'at al-Bahrain),50.521531,26.232917,,
(Qala'at Ali el-Umaish),44.571366,31.785017,,
(Qala'at ar-Rouss)?,35.922652,35.412176,,
(Qala'at el-Marqab),35.949598,35.152151,,
(Qala'at esh-Shmemis),37.013527,35.036709,,
(Qala'at Najm)?,38.261292,36.554667,,
(Qala'at Nimrod),35.71498,33.252651,,
(Qala'at Rashit er-Rayt),44.499812,32.986108,,
(Qala'at Shaisar),36.566403,35.268133,,
(Qara Quzak),38.214751,36.632743,,
(Qarashina),44.930641,36.122867,,
(Qastoun),36.387644,35.685921,,
(Qreiye-Ayyash),40.059523,35.426891,,
(Ras el-Bassit),35.824662,35.849911,,
(Ras Ibn Hani),35.736031,35.587481,,
(Rujm Fiq),35.725087,32.794394,,
(Sabuniye),36.002966,36.081508,,
(Sakr),36.502202,35.414467,,
(Salat Tepe)?,40.901471,37.838616,,
(Salba),36.446346,35.335107,,
(Safira)?,37.371321,36.077705,,
(Saruj)?,43.202062,36.037066,,
(Sarıt Mezrea),37.259418,36.902908,,
(Sayid Azim),44.311241,32.730384,,
(Sazgın),37.461748,36.941169,,
(Seh Qubba),42.490935,36.858443,,
